,note_globale,compagnie_aerienne,avis,note,site
0,4.0,Air France,"AirFrance est une compagnie aérienne sûre et de qualité. Le service en vol est courtois et professionnel, ainsi qu'au sol. L'application de réservation en ligne est simple et ludique à utiliser pour trouver un vol et aussi s'enregistrer. Je recommande de prendre les points flying blue quand on voyage beaucoup, cela permet d'avoir rapidement un billet à prix réduit. Le seul point négatif d'AirFrance est le délai de remboursement des billets si vous n'avez pas pu voyager pour cause d'un évènement extérieur. code promo Air France",4.0,ebuyclub.com
1,4.0,Air France,"J’ai pu acheter mes billets d’avion pour mes vacances avec une très grande facilité. Le processus est simple d’utilisation et plutôt bien expliqué. Je n’ai pas utilisé un code promo mais simplement le lien pour appliquer le cashback sur la page de navigation du site Internet d’Air France. Une fois le lien activé, et le processus fait, le cashback s’applique automatiquement et on reçoit directement une notification comme quoi il a été appliqué et en attente. Seul bémol, mon cashback est toujours en attente depuis plus de 90 jours, mais cela est sûrement à voir avec l’application directement … ",4.0,ebuyclub.com
2,4.0,Air France,"J’ai achété des billets aller retour pour un vol long courrier pour des vacances en mars et avril de cette année. Le cashback est d’un montant forfaitaire mais c’est toujours agréable de pouvoir récupérer un peu d’argent. Le cashback est validé assez rapidement ce qui est cool, pas trop d’attente. Air france est une compagnie agréable pour les vols longs courriers. Je recommande ce marchand et je repasserai par ebuy club pour l’achat de mes prochains billets d’avion, il n’y a pas de petites économies ",5.0,ebuyclub.com
3,4.0,Air France,"Je trouve que le site est bien conçu, facile et moderne. On voit les options la ou il faut. la page n'est pas trop condensée et cela facilité vraiment la réservation J'ai acheté un billet pour Düsseldorf pour le 20 / 05 Le processus de la commande était très simple et sécurisé Je n'ai pas eu recours à un code promo La commande a duré qu'une minute La charte graphique du site est très moderne et ca donne envie d'y aller Les prix et les prestations de services associées sont très correct Je recommande la compagnie Air-France",5.0,ebuyclub.com
4,4.0,Air France,"J'ai acheté des billets d'avion aller / retour pour BLAGNAC. Le processus de ma commande c'est bien déroule. Je n'ai pas eu de recours à un code promo. Le délai pour avoir mes billets d'avion a bien été respecté. Ma commande a été livré à la date prévu, j'ai pu les imprimer en temps et en heure. Je n'ai pas eu de soucis pour m'enregistrer sur le site Air France. Je n'ai pas eu besoin de décaler ou de demander un remboursement, si tel avait été le cas j'aurais pu me faire rembourser ou bien décaler la date de mon voyage. Je recommande ce site. ",2.5,ebuyclub.com
5,4.0,Air France,"J’ai récemment acheté trois billets d’avion pour Paris Milan sur le site d’Air France en passant par eBuyClub. Les conditions de validation du cashback eBuyClub était très clair, et le vol était même considéré comme un vol moyen-courrier. J’ai pu gagner du cash Back facilement et je suis très content car j’ai pu aussi cumuler des points de fidélité Air France. Je repasserai dorénavant par eBuyClub pour réserver mes billets. Le seul point négatif est que le site annonçait un cashback précis par type de vol : je pensais obtenir 3 fois ce cashback car j’ai réservé 3 billets, or ce n’était pas le cas. Mais ce n’est pas bien grave! ? ? ",5.0,ebuyclub.com
6,4.0,Air France,je viens d effectuer un achat de transport en avion en ligne reguliere air france un aller et retour pour 3 passagers pour un court sejour de petites vacances en famille lors de ma reservation tout le processus de reservation d est tres bien passé c est facile de reserver de payer malgre les greves en cours notre voyage s est tres bien passe et je recommande le site air france pour la simplifiaction des reservations et du service apres vente tout s est deroule sans aucun probleme je recomencerai bientot une nouvelle reservation,4.5,ebuyclub.com
7,4.0,Air France,"J'ai récemment ( début février) acheté un billet d'avion sur le site internet d'Air France pour un weekend en Suède. L'utilisation du site est simple et efficace. J'ai trouvé les prix proposés par cette compagnie plus attractifs que par d'autres. Je recommande la compagnie Air France car les bagages cabines ( sac à main / dos + valise cabine) sont inclus dans le prix du billet, contrairement à d'autres compagnies. Il est également possible, selon le billet sélectionné et les destinations, de modifier la réservation sans frais. On peut également bénéficier du programme de fidélité. Je suis satisfaite de toutes les commandes et voyages effectués via cette compagnie. ",5.0,ebuyclub.com
8,4.0,Air France,"J'ai réservé un vol en janvier pour début mars. Prix attractif, conditions d'achats facilité via le site internet. j'ai été informé régulièrement de la marche à suivre notamment pour l'enregistrement de mes billets avant le départ. Facilité d'utilisation sans impression de la carte d'embarquement grace à l'application Air France très facile d'utiliasation. Voyage parfait. Je suis très satisfaite et je recommande sans hésitation les vols Air France qui à mon sens, sont sûrs et très confortables. ",5.0,ebuyclub.com
9,4.0,Air France,"bonjour, J'ai acheté billet de dernières minutes Air France avec facilité. Le prix était un peu élevé, je n'ai bénéficié d'aucune promotion. De l'application, il est facile de gérer sa réservation, rien à imprimer et quand j'ai du faire une modification de billet, cela s'est fait avec facilité toutefois avec un surcoût. Le confort dans les avions Air France, en tarif normal, n'est pas ce qu'il y a de mieux, les sièges sont serrés toutefois le service de restauration était correct et sympathique. ",3.0,ebuyclub.com
